onset	duration	trial_type
8.001609799999997	1.0	indoor_0282
9.021155899999997	3.8	Response
12.833072299999998	1.0	indoor_0249
17.618291100000008	1.0	outdoor_natural_0132
24.0212719	1.0	outdoor_manmade_0165
28.820967300000007	1.0	outdoor_natural_0128
32.010113200000006	4.8	Filler
36.82729239999999	1.0	indoor_0146
40.0187135	1.0	outdoor_manmade_0256
43.21875519999999	1.0	outdoor_manmade_0161
44.23520180000001	3.8	Response
48.0498783	1.0	outdoor_manmade_0152
51.22000680000001	1.0	outdoor_natural_0261
57.61109800000001	4.8	Filler
62.435625400000006	1.0	indoor_0216
65.61903790000001	1.0	outdoor_manmade_0149
68.8217853	1.0	outdoor_manmade_0157
69.8384826	3.8	Response
73.6503124	1.0	outdoor_natural_0273
76.821646	1.0	outdoor_natural_0255
80.01915749999999	1.0	indoor_0272
83.2204612	1.0	indoor_0145
86.41925959999999	1.0	outdoor_natural_0062
92.8205008	1.0	outdoor_natural_0207
96.0193993	1.0	outdoor_manmade_0063
99.2220848	1.0	indoor_0271
102.4219941	1.0	outdoor_natural_0079
107.2220774	1.0	outdoor_natural_0004
110.4195823	1.0	outdoor_manmade_0119
115.2196038	1.0	indoor_0235
121.6223088	1.0	outdoor_natural_0252
124.8223166	1.0	outdoor_manmade_0068
125.8393388	3.8	Response
129.65399409999998	1.0	outdoor_manmade_0258
134.42121930000002	1.0	indoor_0156
140.82263360000002	1.0	indoor_0080
141.83936620000003	3.8	Response
145.65121449999998	1.0	outdoor_manmade_0257
148.8225074	1.0	indoor_0215
152.0201063	1.0	outdoor_natural_0011
155.2116767	4.8	Filler
160.0290784	1.0	outdoor_manmade_0064
166.4230273	1.0	indoor_0221
169.62030499999997	1.0	indoor_0055
176.02280329999996	1.0	outdoor_natural_0091
177.0398383	3.8	Response
180.8435199	4.8	Filler
185.6620699	1.0	outdoor_natural_0049
190.4232221	1.0	outdoor_manmade_0167
196.8233894	1.0	outdoor_manmade_0148
201.6233489	1.0	indoor_0283
204.8207571	1.0	outdoor_manmade_0154
209.6208242	1.0	outdoor_manmade_0173
214.4237426	1.0	outdoor_manmade_0117
219.223589	1.0	outdoor_natural_0042
222.4209754	1.0	outdoor_manmade_0040
223.4405444	3.8	Response
227.2523756	1.0	outdoor_natural_0200
232.0238873	1.0	outdoor_natural_0097
235.2126696	4.8	Filler
240.0294298	1.0	indoor_0163
243.2212707	1.0	indoor_0066
249.6238164	1.0	indoor_0103
250.64093	3.8	Response
254.453459	1.0	indoor_0130
257.6239461	1.0	outdoor_manmade_0133
260.8214989	1.0	outdoor_manmade_0155
264.0215639	1.0	outdoor_natural_0009
265.0303901	3.8	Response
268.8445633	1.0	indoor_0025
272.0136307	4.8	Filler
276.8304169	1.0	outdoor_manmade_0131
281.6243514	1.0	indoor_0279
282.6412542	3.8	Response
286.4530123	1.0	outdoor_manmade_0175
291.2229816	1.0	indoor_0212
292.2415686	3.8	Response
296.053731	1.0	outdoor_natural_0017
300.8219875	1.0	outdoor_natural_0053
301.8385053	3.8	Response
305.6529846	1.0	outdoor_natural_0034
306.6747563	3.8	Response
310.4866354	1.0	outdoor_natural_0010
313.6233229	1.0	outdoor_natural_0160
316.8222457	1.0	indoor_0270
321.6230794	1.0	outdoor_natural_0052
324.8231589	1.0	indoor_0058
328.0250037	1.0	indoor_0214
332.8250695	1.0	outdoor_manmade_0089
336.0223669	1.0	outdoor_manmade_0032
339.2225377	1.0	indoor_0100
342.4234816	1.0	outdoor_manmade_0276
348.825125	1.0	outdoor_natural_0104
353.6148955	4.8	Filler
358.4393651	1.0	indoor_0281
363.2228241	1.0	outdoor_natural_0050
369.6240794	1.0	outdoor_manmade_0110
374.425646	1.0	indoor_0021
377.6238444	1.0	indoor_0033
384.0256674	1.0	outdoor_manmade_0220
385.0425767	3.8	Response
388.846243	4.8	Filler
393.6654327	1.0	outdoor_manmade_0030
396.8232286	1.0	outdoor_natural_0008
401.6258158	1.0	outdoor_natural_0198
402.6428485	3.8	Response
406.4546735	1.0	outdoor_manmade_0147
411.2234502	1.0	outdoor_manmade_0015
416.023475	1.0	indoor_0266
419.2235253	1.0	outdoor_natural_0246
422.4235708	1.0	outdoor_natural_0023
427.223612	1.0	outdoor_natural_0250
433.6262928	1.0	indoor_0136
